                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                  1.324,                 1.6736,                 1.5967,                0.71905,                0.35813,                0.43996,                0.32617,                 1.2676,                 1.6556,                 1.4399,             0.00052359,             0.00052359,             0.00052359
                     34,                 1.3601,                 1.7203,                 1.6167,                0.73532,                0.37196,                0.51211,                0.37332,                 1.2649,                 1.5898,                 1.4511,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.3417,                 1.6109,                 1.5814,                0.57142,                0.41634,                0.52033,                0.35285,                 1.2176,                 1.6475,                 1.4243,               0.000467,               0.000467,               0.000467
                     36,                 1.3117,                 1.6384,                  1.568,                  0.794,                0.36792,                0.52196,                0.38093,                 1.1802,                 1.4773,                 1.3721,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.3264,                 1.5883,                 1.5458,                0.70769,                0.40188,                0.49346,                0.34433,                 1.2007,                 1.6111,                 1.3929,             0.00041041,             0.00041041,             0.00041041
                     38,                  1.269,                 1.5292,                 1.5379,                0.68926,                 0.4416,                0.52221,                0.37375,                  1.222,                 1.5802,                 1.3933,             0.00038211,             0.00038211,             0.00038211
                     39,                  1.314,                  1.567,                 1.5657,                0.78016,                0.32203,                0.48593,                0.33511,                  1.242,                 1.5735,                 1.4184,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.1763,                 1.5962,                 1.4528,                0.56405,                0.46724,                 0.5231,                0.39104,                 1.1917,                 1.6145,                 1.3911,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.1544,                 1.5038,                 1.4507,                0.47293,                0.48404,                0.47056,                0.35018,                 1.1637,                 1.5211,                  1.357,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.1388,                  1.472,                 1.4149,                0.64945,                0.42735,                0.55716,                0.39821,                  1.193,                 1.4851,                 1.3733,             0.00026894,             0.00026894,             0.00026894
                     43,                 1.1294,                 1.4592,                 1.4211,                0.61295,                 0.4302,                0.53078,                0.37809,                  1.173,                 1.5729,                 1.3598,             0.00024064,             0.00024064,             0.00024064
                     44,                 1.1259,                 1.4468,                 1.4106,                0.68407,                0.44794,                0.54363,                0.39509,                 1.1619,                 1.4823,                  1.347,             0.00021235,             0.00021235,             0.00021235
                     45,                  1.075,                 1.3841,                 1.3912,                0.70084,                0.46877,                0.55368,                0.38628,                 1.1834,                 1.5029,                 1.3658,             0.00018406,             0.00018406,             0.00018406
                     46,                 1.0955,                 1.3673,                 1.3619,                0.55308,                0.52494,                0.57726,                0.41766,                 1.1655,                 1.4379,                 1.3424,             0.00015576,             0.00015576,             0.00015576
                     47,                 1.0702,                 1.3751,                 1.3789,                0.65695,                 0.4947,                0.57991,                0.41229,                  1.187,                 1.4681,                 1.3502,             0.00012747,             0.00012747,             0.00012747
                     48,                 1.0704,                   1.35,                 1.3729,                0.72651,                 0.4651,                0.56349,                0.40006,                 1.1849,                 1.4438,                 1.3621,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                 1.0422,                 1.2953,                 1.3505,                 0.6735,                 0.5324,                0.59523,                0.43517,                 1.1467,                 1.4307,                 1.3341,             7.0878e-05,             7.0878e-05,             7.0878e-05
